start_country,end_country,start_lat,start_long,end_lat,end_long,count
Mexico,United States,23,-102,0,0,9367910.0
Bangladesh,India,24,90,20,77,3789377.0
Russian Federation,Ukraine,0,0,49,32,3613240.0
Ukraine,Russian Federation,49,32,0,0,3559975.0
Kazakhstan,Russian Federation,48,68,0,0,2584955.0
India,Pakistan,20,77,30,70,2512906.0
China,"Hong Kong SAR, China",35,105,0,0,2164744.0
Turkey,Germany,39,35,51,9,2008979.0
Poland,Germany,52,20,51,9,1999975.0
Russian Federation,Kazakhstan,0,0,48,68,1931909.0
Philippines,United States,0,0,0,0,1505820.0
Puerto Rico,United States,18.25,-66.5,0,0,1455095.0
Pakistan,India,30,70,20,77,1331659.0
Burkina Faso,Cote d'Ivoire,13,-2,8,-5,1252098.0
Germany,United States,51,9,0,0,1250815.0
Algeria,France,28,3,46,2,1057135.0
India,United States,20,77,0,0,1041320.0
Vietnam,United States,0,0,0,0,1028454.0
United Kingdom,Australia,0,0,-27,133,1026553.0
China,United States,35,105,0,0,1016412.0
India,Saudi Arabia,20,77,25,45,1007649.0
"Egypt, Arab Rep.",Saudi Arabia,0,0,25,45,980205.0
Russian Federation,Germany,0,0,51,9,978793.0
Canada,United States,60,-95,0,0,950549.0
India,Bangladesh,20,77,24,90,936151.0
Belarus,Russian Federation,53,28,0,0,935782.0
Uzbekistan,Russian Federation,41,64,0,0,918037.0
"Korea, Rep.",United States,0,0,0,0,896982.0
Cuba,United States,21.5,-80,0,0,894560.0
Indonesia,Malaysia,-5,120,2.5,112.5,885328.0
Azerbaijan,Russian Federation,40.5,47.5,0,0,846104.0
United Kingdom,United States,0,0,0,0,833858.0
El Salvador,United States,13.8333,-88.9167,0,0,827583.0
Poland,France,52,20,46,2,800387.0
Afghanistan,"Iran, Islamic Rep.",33,65,0,0,762129.0
India,United Arab Emirates,20,77,0,0,751142.0
Russian Federation,Uzbekistan,0,0,41,64,746535.0
Malaysia,Singapore,2.5,112.5,1.3667,103.8,725607.0
Serbia and Montenegro,Germany,0,0,51,9,710269.0
Dominican Republic,United States,0,0,0,0,706894.0
"Korea, Rep.",Japan,0,0,36,138,685943.0
Nepal,India,28,84,20,77,649166.0
Pakistan,Saudi Arabia,30,70,25,45,638606.0
Ireland,United Kingdom,53,-8,0,0,636751.0
Italy,Germany,42.8333,12.8333,51,9,629291.0
Georgia,Russian Federation,42,43.5,0,0,628973.0
Colombia,"Venezuela, RB",4,-72,0,0,617744.0
United Kingdom,Canada,0,0,60,-95,606723.0
Jamaica,United States,18.25,-77.5,0,0,575845.0
Pakistan,United Arab Emirates,30,70,0,0,569556.0
India,Nepal,20,77,28,84,563571.0
Russian Federation,Belarus,0,0,53,28,549738.0
Italy,United States,42.8333,12.8333,0,0,547833.0
Colombia,United States,4,-72,0,0,533019.0
India,United Kingdom,20,77,0,0,524796.0
Japan,United States,36,138,0,0,500527.0
Poland,United States,52,20,0,0,490599.0
Guatemala,United States,15.5,-90.25,0,0,489507.0
Armenia,Russian Federation,40,45,0,0,481328.0
Bulgaria,Turkey,43,25,39,35,480716.0
Israel,West Bank and Gaza,31.5,34.75,0,0,479728.0
Kyrgyz Republic,Russian Federation,0,0,0,0,463521.0
Bosnia and Herzegovina,Croatia,44,18,45.1667,15.5,459328.0
West Bank and Gaza,Syrian Arab Republic,0,0,35,38,458611.0
Mali,Cote d'Ivoire,17,-4,8,-5,444425.0
Ukraine,United States,49,32,0,0,444101.0
Poland,Russian Federation,52,20,0,0,442389.0
Haiti,United States,19,-72.4167,0,0,435259.0
Jordan,Kuwait,31,36,29.3375,47.6581,434725.0
"Korea, Dem. Rep.","Korea, Rep.",0,0,0,0,431629.0
Albania,Greece,41,20,39,22,420838.0
Russian Federation,Israel,0,0,31.5,34.75,420072.0
Cote d'Ivoire,Burkina Faso,8,-5,13,-2,418038.0
Ukraine,Kazakhstan,49,32,48,68,402671.0
Czech Republic,Germany,0,0,51,9,402366.0
India,Sri Lanka,20,77,7,81,384789.0
Tajikistan,Russian Federation,39,71,0,0,383057.0
Philippines,Saudi Arabia,0,0,25,45,369850.0
Greece,Germany,39,22,51,9,367554.0
Bangladesh,Saudi Arabia,24,90,25,45,366007.0
Uganda,Kenya,1,32,1,38,351083.0
Pakistan,United Kingdom,30,70,0,0,350867.0
United States,Mexico,0,0,23,-102,350626.0
New Zealand,Australia,-41,174,-27,133,350498.0
China,Singapore,35,105,1.3667,103.8,348383.0
"Yemen, Rep.",Saudi Arabia,0,0,25,45,348060.0
Germany,United Kingdom,51,9,0,0,338110.0
"Taiwan, China",United States,0,0,0,0,337316.0
Italy,Switzerland,42.8333,12.8333,47,8,336726.0
China,Canada,35,105,60,-95,336302.0
China,Japan,35,105,36,138,335495.0
Paraguay,Argentina,-23,-58,-34,-64,331688.0
Ukraine,Poland,49,32,52,20,331462.0
Romania,Germany,46,25,51,9,324085.0
"Egypt, Arab Rep.",Libya,0,0,25,17,318394.0
India,Canada,20,77,60,-95,313999.0
India,Oman,20,77,21,57,312053.0
Tunisia,France,34,9,46,2,310949.0
Italy,Canada,42.8333,12.8333,60,-95,310213.0
Ecuador,United States,-2,-77.5,0,0,302705.0
"Iran, Islamic Rep.",United States,0,0,0,0,294355.0
Poland,Belarus,52,20,53,28,291909.0
Honduras,United States,15,-86.5,0,0,288779.0
"Congo, Dem. Rep.",Rwanda,0,0,-2,30,288278.0
Slovak Republic,Czech Republic,0,0,0,0,287874.0
Indonesia,Saudi Arabia,-5,120,25,45,286600.0
Morocco,Italy,32,-5,42.8333,12.8333,286498.0
Peru,United States,-10,-76,0,0,285925.0
Moldova,Russian Federation,0,0,0,0,277527.0
Albania,Italy,41,20,42.8333,12.8333,275300.0
Germany,Turkey,51,9,39,35,272995.0
Belarus,Ukraine,53,28,49,32,270751.0
United States,Canada,0,0,60,-95,270708.0
Jordan,West Bank and Gaza,31,36,0,0,269988.0
Mozambique,South Africa,-18.25,35,-29,24,264572.0
Morocco,France,32,-5,46,2,262462.0
Germany,France,51,9,46,2,260042.0
Eritrea,Ethiopia,15,39,8,38,255018.0
Morocco,Spain,32,-5,40,-4,253173.0
Kazakhstan,Ukraine,48,68,49,32,245072.0
United States,Puerto Rico,0,0,18.25,-66.5,243628.0
Uzbekistan,Ukraine,41,64,49,32,242390.0
Brazil,Japan,-10,-55,36,138,242246.0
Russian Federation,Latvia,0,0,57,25,238521.0
Bolivia,Argentina,0,0,-34,-64,237213.0
Italy,France,42.8333,12.8333,46,2,236943.0
"Hong Kong SAR, China",Canada,0,0,60,-95,234201.0
Pakistan,United States,30,70,0,0,234081.0
Philippines,Canada,0,0,60,-95,233010.0
Nicaragua,United States,13,-85,0,0,229386.0
Haiti,Dominican Republic,19,-72.4167,0,0,228274.0
United Kingdom,Ireland,0,0,53,-8,227440.0
Nicaragua,Costa Rica,13,-85,10,-84,226582.0
Azerbaijan,Israel,40.5,47.5,31.5,34.75,225396.0
Brazil,United States,-10,-55,0,0,225330.0
Croatia,Germany,45.1667,15.5,51,9,224721.0
Italy,Argentina,42.8333,12.8333,-34,-64,224155.0
China,Thailand,35,105,15,100,224153.0
Serbia and Montenegro,Switzerland,0,0,47,8,223145.0
Albania,Germany,41,20,51,9,221897.0
United Kingdom,New Zealand,0,0,-41,174,221729.0
Czech Republic,France,0,0,46,2,220766.0
Chile,Argentina,-30,-71,-34,-64,219104.0
Guyana,United States,5,-59,0,0,219060.0
Ukraine,Moldova,49,32,0,0,218596.0
Russian Federation,France,0,0,46,2,217690.0
Italy,Australia,42.8333,12.8333,-27,133,216676.0
Poland,Ukraine,52,20,49,32,214578.0
Lao PDR,United States,0,0,0,0,213399.0
Portugal,Brazil,39.5,-8,-10,-55,212917.0
Portugal,United States,39.5,-8,0,0,212370.0
Guadeloupe,France,16.25,-61.5833,46,2,208276.0
"Hong Kong SAR, China",United States,0,0,0,0,207845.0
Trinidad and Tobago,United States,11,-61,0,0,207679.0
Poland,United Kingdom,52,20,0,0,207480.0
Russian Federation,Moldova,0,0,0,0,203909.0
China,"Macao SAR, China",35,105,0,0,203877.0
Italy,Belgium,42.8333,12.8333,50.8333,4,203181.0
Sudan,Saudi Arabia,0,0,25,45,198887.0
France,United States,46,2,0,0,198061.0
Finland,Sweden,64,26,62,15,193364.0
Russian Federation,Estonia,0,0,59,26,190599.0
Austria,Germany,47.3333,13.3333,51,9,189096.0
Morocco,Israel,32,-5,31.5,34.75,187826.0
Serbia and Montenegro,Austria,0,0,47.3333,13.3333,187588.0
Ukraine,Belarus,49,32,53,28,187293.0
Bosnia and Herzegovina,Germany,44,18,51,9,186646.0
Thailand,United States,15,100,0,0,186520.0
Germany,Canada,51,9,60,-95,185745.0
Sri Lanka,India,7,81,20,77,185572.0
Ireland,France,53,-8,46,2,181039.0
Greece,United States,39,22,0,0,179950.0
Turkey,Austria,39,35,47.3333,13.3333,179638.0
Suriname,Netherlands,4,-56,0,0,178273.0
Poland,Canada,52,20,60,-95,177013.0
Turkey,Netherlands,39,35,0,0,176306.0
Ecuador,Spain,-2,-77.5,40,-4,176212.0
Russian Federation,Tajikistan,0,0,39,71,176029.0
Philippines,Malaysia,0,0,2.5,112.5,175740.0
Turkmenistan,Russian Federation,40,60,0,0,175252.0
Myanmar,Thailand,22,98,15,100,171759.0
Iraq,"Iran, Islamic Rep.",33,44,0,0,169650.0
Russian Federation,Kyrgyz Republic,0,0,0,0,167792.0
Angola,Portugal,-12.5,18.5,39.5,-8,167578.0
Moldova,Ukraine,0,0,49,32,165126.0
United States,United Kingdom,0,0,0,0,165086.0
Kazakhstan,Uzbekistan,48,68,41,64,164799.0
Bangladesh,United Kingdom,24,90,0,0,163655.0
Ireland,United States,53,-8,0,0,163136.0
China,Australia,35,105,-27,133,162810.0
Ukraine,Uzbekistan,49,32,41,64,162266.0
Iraq,Kuwait,33,44,29.3375,47.6581,159233.0
South Africa,Mozambique,-29,24,-18.25,35,159113.0
Benin,Nigeria,9.5,2.25,10,8,157826.0
Kuwait,West Bank and Gaza,29.3375,47.6581,0,0,156362.0
Indonesia,Netherlands,-5,120,0,0,155137.0
Jamaica,United Kingdom,18.25,-77.5,0,0,152843.0
Vietnam,Australia,0,0,-27,133,152582.0
Bosnia and Herzegovina,Austria,44,18,47.3333,13.3333,152381.0
Spain,France,40,-4,46,2,151566.0
Portugal,Canada,39.5,-8,60,-95,151562.0
Morocco,Netherlands,32,-5,0,0,151254.0
Sudan,Uganda,0,0,1,32,149360.0
Portugal,Switzerland,39.5,-8,47,8,148832.0
Panama,United States,9,-80,0,0,146882.0
Vietnam,Canada,0,0,60,-95,146343.0
"Hong Kong SAR, China",United Kingdom,0,0,0,0,143805.0
Thailand,"Taiwan, China",15,100,0,0,143484.0
South Africa,United Kingdom,-29,24,0,0,143298.0
Malawi,Zimbabwe,-13.5,34,-20,30,142229.0
Nigeria,United States,10,8,0,0,141571.0
Portugal,France,39.5,-8,46,2,141016.0
Colombia,Spain,4,-72,40,-4,140748.0
Cambodia,United States,13,105,0,0,140684.0
Romania,United States,46,25,0,0,140085.0
Romania,Israel,46,25,31.5,34.75,139278.0
Portugal,Germany,39.5,-8,51,9,138240.0
Spain,Argentina,40,-4,-34,-64,137084.0
India,France,20,77,46,2,136233.0
"Egypt, Arab Rep.",United Arab Emirates,0,0,0,0,133986.0
Spain,Germany,40,-4,51,9,133635.0
Argentina,United States,-34,-64,0,0,133210.0
Romania,Hungary,46,25,47,20,133077.0
Martinique,France,14.6667,-61,46,2,132228.0
Kenya,United Kingdom,1,38,0,0,130511.0
Guinea,Cote d'Ivoire,11,-10,8,-5,129807.0
Zimbabwe,South Africa,-20,30,-29,24,129558.0
Russian Federation,Turkmenistan,0,0,40,60,128858.0
Jordan,Saudi Arabia,31,36,25,45,127456.0
France,Spain,46,2,40,-4,126435.0
United Kingdom,South Africa,0,0,-29,24,126343.0
Lithuania,Germany,56,24,51,9,126069.0
Israel,United States,31.5,34.75,0,0,125896.0
Bosnia and Herzegovina,United States,44,18,0,0,125844.0
Italy,United Kingdom,42.8333,12.8333,0,0,125396.0
China,Philippines,35,105,0,0,125278.0
Romania,France,46,25,46,2,123957.0
