Region,Country Name,Mobile users per capita,Population,Year,Migration: Top 3 destinations,Migration: Top 3 sources
Asia,Afghanistan,0.0,"25,950,816",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 8.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Albania,0.009698045741727477,"3,071,856",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 3.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Algeria,0.0028165483481648076,"30,533,827",2000,"[('Afghanistan', 54.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Oceania,American Samoa,0.03456832971800434,"57,625",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Andorra,0.3642510133985209,"64,634",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Angola,0.001853030936339275,"13,926,373",2000,"[('Afghanistan', 7.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,Antigua and Barbuda,0.28330071082723807,"77,656",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,Argentina,0.1756789992848499,"36,930,709",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Asia,Armenia,0.005684474291781341,"3,076,098",2000,"[('Afghanistan', 0.0), ('Albania', 6.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,Aruba,0.16616632140997661,"90,271",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Oceania,Australia,0.44703179658539133,"19,153,000",2000,"[('Afghanistan', 21.0), ('Albania', 2.0), ('Algeria', 1.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Austria,0.7635211393128385,"8,011,566",2000,"[('Afghanistan', 0.0), ('Albania', 5.0), ('Algeria', 23.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Asia,Azerbaijan,0.05223268642993813,"8,048,600",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,"Bahamas, The",0.1059092695808178,"297,651",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Middle East,Bahrain,0.32235859685079593,"638,193",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 4.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Asia,Bangladesh,0.002152906104935653,"129,592,275",2000,"[('Afghanistan', 41817.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,Barbados,0.10641431567300036,"267,511",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Belarus,0.004932833583208396,"10,005,000",2000,"[('Afghanistan', 0.0), ('Albania', 9.0), ('Algeria', 6.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Belgium,0.549103767833191,"10,251,250",2000,"[('Afghanistan', 0.0), ('Albania', 1.0), ('Algeria', 29.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,Belize,0.06730184147317854,"249,800",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Benin,0.008511447863622904,"6,517,810",2000,"[('Afghanistan', 3.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,Bermuda,0.20933977455716588,"62,100",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Asia,Bhutan,0.0,"571,262",2000,"[('Afghanistan', 115.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,Bolivia,0.07013393605198737,"8,307,248",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Bosnia and Herzegovina,0.02528252174379172,"3,693,698",2000,"[('Afghanistan', 2.0), ('Albania', 56.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Botswana,0.1263933330489071,"1,757,925",2000,"[('Afghanistan', 2.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
The Americas,Brazil,0.13294034428600696,"174,425,387",2000,"[('Afghanistan', 0.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Asia,Brunei Darussalam,0.2904878973568659,"327,036",2000,"[('Afghanistan', 335.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Europe,Bulgaria,0.09032857570195585,"8,170,172",2000,"[('Afghanistan', 2.0), ('Albania', 11.0), ('Algeria', 14.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Burkina Faso,0.002053438698449294,"12,294,012",2000,"[('Afghanistan', 34.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
Africa,Burundi,0.0025602622511764735,"6,374,347",2000,"[('Afghanistan', 6.0), ('Albania', 0.0), ('Algeria', 0.0)]","[('Afghanistan', 1.0), ('Albania', 0.0), ('Albania', 0.0)]"
